Image Name,OCR Text
21oIBk4SslL.jpg,"SOTeNIng Reliei DulcoEase 100 mg Capsules docusate sodium Softening from Painful, hard dry stools Eioe @psul"" relief"
316fBrdhpXL.jpg,"1.18 in / 3 cm 4,2 in 10.7 cm 1"
31Fa4peIYlL.jpg,Sum Rurcne Joscni ' 4IAINUM MNIMUM Mxacin cII Il} 2eu Jogcin
31ftA3ffHxL.jpg,"""81 Z0 92 0 6 3 ` 1 1"
31i7s0ruvML.jpg,Meat TULIP Chicken Luncheon _
31l6HcAwG3L.jpg,4a EKING DUCKSM 5.0 in Abiay 12 cm
31ltczLPyZL.jpg,11201cm 64.01cm 57.Acm
31MH+TzFzVL.jpg,Was ist drin? Kaferbohnen. Wasser Zucker; Salz Zutaten Weingeistessig Sauerungsmittel: Citronensaure Brennwert 336 kJ 80 kca Fettgehalt 0.6 g Gesatigte Fettsauren Kohlenhydrate 12 9 Zucker Eiiveis 42= Salz
31qrpu7LpFL.jpg,"103,5 cm 35 cm 9 3"
31R9nSEIr7L.jpg,"5.813"""
31TnvU-+cRL.jpg,"HERBAL PRODUCT Each 500m9 Tablot Cointains Branmi 1Oomg Tznam Phulya Pudhna Satva sma Jahr Mohar Khatal Pish?l Tsmo Indication: &nl, 14, TUR, JNTA, CTIET fnlatr 714, 74E177 Dosage Two Times Store cold ary place out 04 reach ol the children: Do not us4 if inner seal boren On ISCE 5480""A55UG4 Ene icog Cnci 1s0mg Tajlots Slorago: Kcap 'Cnbicd C"
31TSgiy74TS.jpg,weifht: 3.1g 6 9cm
31VgjEk5lRL.jpg,JOOg Musl Pak Contains Hctum Ech Fentald
31vvvnbdFdL.jpg,610 Lzt5JA 9.3in MiB 23 cm 55 JT?RIDTST
31WwDdzJ1XL.jpg,"33.9"" 41.7"" 89"""
41+7OdL1MDS.jpg,"[ 4cm/1.57"""
41+KFJSnXyS.jpg,8.65in / 22 cm 4.32inchin 11 cm
41+N8l5SitL.jpg,28 Ch 145CM _ 8
410P9sSB52L.jpg,Chili con Carne Unser Bestes tnte 16 cm (Rmov
